symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
F,2018-06-12,11.942100,11.981600,False,11.863200,11.902700,reg,51395448
F,2018-06-13,11.853400,11.932300,False,11.794200,11.932300,reg,28406733
F,2018-06-14,11.725200,11.843500,False,11.675900,11.833600,reg,34523019
F,2018-06-15,11.715300,11.863200,False,11.636400,11.675900,reg,56326835
F,2018-06-18,11.823800,11.873100,False,11.646300,11.656100,reg,32706527
F,2018-06-19,11.725200,11.725200,False,11.508200,11.656100,reg,40064785
F,2018-06-20,11.705400,11.882900,False,11.666000,11.804100,reg,31964792
F,2018-06-21,11.547700,11.665900,False,11.478600,11.636400,reg,33316702
F,2018-06-22,11.488500,11.705400,False,11.458900,11.587100,reg,38207303
F,2018-06-25,11.340600,11.508200,False,11.222200,11.468800,reg,36101893
F,2018-06-26,11.360300,11.468800,False,11.330700,11.399700,reg,36627672
F,2018-06-27,11.261700,11.478600,False,11.242000,11.380000,reg,27241994
F,2018-06-28,11.123600,11.242000,False,10.995400,11.212400,reg,43836444
F,2018-06-29,10.916500,11.212400,False,10.877100,11.163100,reg,44718473
F,2018-07-02,10.946100,10.951000,False,10.758800,10.867200,reg,37892751
F,2018-07-03,10.837600,10.995400,False,10.788300,10.946100,reg,16544777
F,2018-07-05,10.896800,10.985600,False,10.867200,10.946100,reg,32008544
F,2018-07-06,10.906700,10.946100,False,10.768600,10.887000,reg,25671874
F,2018-07-09,11.044700,11.103900,False,10.877100,10.946100,reg,23949959
F,2018-07-10,11.094000,11.103900,False,11.015100,11.044700,reg,21231537
F,2018-07-11,10.916500,11.015100,False,10.896800,10.995400,reg,30037704
F,2018-07-12,10.896800,10.985600,False,10.847500,10.946100,reg,27107430
F,2018-07-13,10.827800,10.896800,False,10.758800,10.867200,reg,36575978
F,2018-07-16,10.699600,10.817900,False,10.610800,10.798200,reg,46156833
F,2018-07-17,10.709400,10.748900,False,10.650300,10.650300,reg,37635447
F,2018-07-18,10.719300,10.744000,False,10.660100,10.699600,reg,36420018
F,2018-07-19,10.670000,10.748900,False,10.620700,10.739000,reg,40310573
F,2018-07-20,10.560000,10.720000,False,10.510000,10.680000,reg,41675374
F,2018-07-23,10.470000,10.570000,False,10.420000,10.560000,reg,34941983
F,2018-07-24,10.570000,10.740000,False,10.500000,10.510000,reg,47302950
F,2018-07-25,10.520000,10.570000,False,10.120000,10.320000,reg,92610535
F,2018-07-26,9.890000,10.160000,False,9.840000,10.140000,reg,103893039
F,2018-07-27,9.930000,10.050000,False,9.910000,9.960000,reg,46178701
F,2018-07-30,10.070000,10.100000,False,9.930000,9.960000,reg,35877009
F,2018-07-31,10.040000,10.110000,False,10.000000,10.110000,reg,38026871
F,2018-08-01,9.900000,10.078500,False,9.820000,10.060000,reg,44126692
F,2018-08-02,9.920000,9.980000,False,9.840000,9.900000,reg,40318865
F,2018-08-03,10.040000,10.060000,False,9.930000,9.930000,reg,25925122
F,2018-08-06,10.030000,10.050000,False,9.970000,10.000000,reg,22247882
F,2018-08-07,10.080000,10.100000,False,10.020000,10.040000,reg,27961231
F,2018-08-08,10.050000,10.100000,False,10.040000,10.050000,reg,22601602
F,2018-08-09,9.910000,10.070000,False,9.900000,10.060000,reg,35682617
F,2018-08-10,9.740000,9.910000,False,9.720000,9.910000,reg,39180474
F,2018-08-13,9.460000,9.750000,False,9.420000,9.740000,reg,66586182
F,2018-08-14,9.500000,9.615000,False,9.450000,9.510000,reg,37657351
F,2018-08-15,9.450000,9.500000,False,9.350000,9.460000,reg,36298597
F,2018-08-16,9.510000,9.600000,False,9.490000,9.500000,reg,28857667
F,2018-08-17,9.550000,9.600000,False,9.460000,9.530000,reg,32742936
F,2018-08-20,9.720000,9.740000,False,9.560000,9.560000,reg,25252486
F,2018-08-21,9.860000,9.900000,False,9.690000,9.770000,reg,46413897
F,2018-08-22,9.690000,9.820000,False,9.680000,9.790000,reg,30803675
F,2018-08-23,9.630000,9.690000,False,9.580000,9.670000,reg,31511844
F,2018-08-24,9.680000,9.700000,False,9.610000,9.650000,reg,18380040
F,2018-08-27,9.990000,10.040000,False,9.730000,9.750000,reg,49769258
F,2018-08-28,10.010000,10.090000,False,9.950000,10.080000,reg,33845494
F,2018-08-29,9.970000,10.020000,False,9.900000,10.010000,reg,37336431
F,2018-08-30,9.700000,9.915000,False,9.670000,9.870000,reg,48539347
F,2018-08-31,9.480000,9.680000,False,9.400000,9.640000,reg,76424884
F,2018-09-04,9.470000,9.580000,False,9.360000,9.530000,reg,54111109
F,2018-09-05,9.490000,9.550000,False,9.320000,9.470000,reg,44561879
F,2018-09-06,9.430000,9.550000,False,9.400000,9.480000,reg,29519107
F,2018-09-07,9.270000,9.490000,False,9.250000,9.410000,reg,51229915
F,2018-09-10,9.380000,9.490000,False,9.300000,9.310000,reg,30421677
F,2018-09-11,9.310000,9.360000,False,9.220000,9.350000,reg,27158381
F,2018-09-12,9.340000,9.420000,False,9.280000,9.310000,reg,25450013
F,2018-09-13,9.370000,9.410000,False,9.310000,9.380000,reg,29315671
F,2018-09-14,9.450000,9.480000,False,9.360000,9.380000,reg,30013336
F,2018-09-17,9.550000,9.595000,False,9.430000,9.435000,reg,29544428
F,2018-09-18,9.580000,9.610000,False,9.480000,9.540000,reg,57055398
F,2018-09-19,9.780000,9.830000,False,9.610000,9.610000,reg,40111485
F,2018-09-20,9.810000,9.930000,False,9.710000,9.830000,reg,46314358
F,2018-09-21,9.850000,9.940000,False,9.780000,9.840000,reg,74488637
F,2018-09-24,9.590000,9.850000,False,9.520000,9.780000,reg,43170827
F,2018-09-25,9.390000,9.560000,False,9.370000,9.530000,reg,44406116
F,2018-09-26,9.270000,9.410000,False,9.270000,9.380000,reg,58597487
F,2018-09-27,9.230000,9.330000,False,9.200000,9.300000,reg,57272192
F,2018-09-28,9.250000,9.280000,False,9.090000,9.220000,reg,30987233
F,2018-10-01,9.320000,9.440000,False,9.300000,9.430000,reg,44864717
F,2018-10-02,9.200000,9.340000,False,9.180000,9.270000,reg,41806359
F,2018-10-03,9.130000,9.310000,False,9.130000,9.270000,reg,47023058
F,2018-10-04,9.150000,9.220000,False,9.090000,9.130000,reg,38889619
F,2018-10-05,9.120000,9.220000,False,9.100000,9.150000,reg,36952234
